orig,dest,id,actl_dep_lcl_tms,actl_arr_lcl_tms,flight_num,flights,acft_regs_cde,airborne_lcl_tms,landing_lcl_tms
YYZ,YVR,1,2022-12-31T20:36:00,2022-12-31T22:28:00,127,1,737,2022-12-31T21:02:00,2022-12-31T22:17:00
YYZ,YVR,2,2022-12-31T19:39:00,2022-12-31T21:22:00,185,1,451,2022-12-31T20:05:00,2022-12-31T21:14:00
YYZ,YVR,3,2022-12-31T18:53:00,2022-12-31T20:33:00,123,1,843,2022-12-31T19:10:00,2022-12-31T20:22:00
YYZ,YVR,4,2022-12-31T17:27:00,2022-12-31T19:00:00,121,1,747,2022-12-31T17:43:00,2022-12-31T18:53:00
YYZ,YVR,5,2022-12-31T16:44:00,2022-12-31T18:31:00,119,1,464,2022-12-31T16:56:00,2022-12-31T18:23:00
YYZ,YVR,6,2022-12-31T14:35:00,2022-12-31T16:43:00,113,1,743,2022-12-31T15:04:00,2022-12-31T16:35:00
YYZ,YVR,7,2022-12-31T13:08:00,2022-12-31T14:53:00,111,1,462,2022-12-31T13:20:00,2022-12-31T14:46:00
YYZ,YVR,8,2022-12-31T11:23:00,2022-12-31T13:03:00,105,1,735,2022-12-31T11:40:00,2022-12-31T12:54:00
YYZ,YVR,9,2022-12-31T10:18:00,2022-12-31T12:27:00,107,1,457,2022-12-31T10:39:00,2022-12-31T12:08:00
YYZ,YVR,10,2022-12-31T08:50:00,2022-12-31T10:38:00,103,1,451,2022-12-31T09:13:00,2022-12-31T10:28:00
YVR,YYZ,12,2022-12-31T16:02:00,2022-12-31T23:20:00,120,1,462,2022-12-31T16:15:00,2022-12-31T23:10:00
YVR,YYZ,13,2022-12-31T14:58:00,2022-12-31T22:20:00,116,1,735,2022-12-31T15:16:00,2022-12-31T22:00:00
YVR,YYZ,14,2022-12-31T14:02:00,2022-12-31T21:28:00,118,1,457,2022-12-31T14:13:00,2022-12-31T21:15:00
YVR,YYZ,15,2022-12-31T12:47:00,2022-12-31T19:59:00,114,1,738,2022-12-31T13:05:00,2022-12-31T19:48:00
YVR,YYZ,16,2022-12-31T11:55:00,2022-12-31T19:10:00,106,1,451,2022-12-31T12:10:00,2022-12-31T18:55:00
YVR,YYZ,17,2022-12-31T10:08:00,2022-12-31T17:27:00,110,1,737,2022-12-31T10:23:00,2022-12-31T17:15:00
YVR,YYZ,18,2022-12-31T09:48:00,2022-12-31T16:58:00,108,1,747,2022-12-31T10:02:00,2022-12-31T16:50:00
YVR,YYZ,19,2022-12-31T08:07:00,2022-12-31T15:19:00,104,1,843,2022-12-31T08:24:00,2022-12-31T15:10:00
YVR,YYZ,20,2022-12-31T06:04:00,2022-12-31T13:24:00,100,1,743,2022-12-31T06:23:00,2022-12-31T13:16:00
YVR,YYZ,21,2022-12-31T00:29:00,2022-12-31T08:27:00,128,1,451,2022-12-31T01:01:00,2022-12-31T08:11:00
